tournaments.RoundRobinTournament,,,,,,,,
AIs,,,,,,,,
,MINS_Bot,,,,,,,
,IliasAI(AStarPathFinding),,,,,,,
,Miguel_MINS_Bot,,,,,,,
,ShayAI(AStarPathFinding),,,,,,,
,mayari,,,,,,,
,WorkerRush(AStarPathFinding),,,,,,,
,LightRush(AStarPathFinding),,,,,,,
,HeavyRush(AStarPathFinding),,,,,,,
,RangedRush(AStarPathFinding),,,,,,,
maps,,,,,,,,
,C:\Users\Matthew\Documents\school\Software Tools (CS 3560)\group project\MicroRTS\maps\16x16\basesWorkers16x16.xml,,,,,,,
iterations,1,,,,,,,
maxGameLength,3000,,,,,,,
timeBudget,30,,,,,,,
iterationsBudget,-1,,,,,,,
pregameAnalysisBudget,1000,1000,,,,,,
preAnalysis,TRUE,,,,,,,
fullObservability,TRUE,,,,,,,
timeoutCheck,TRUE,,,,,,,
runGC,FALSE,,,,,,,
iteration,map,ai1,ai2,time,winner,crashed,timedout,
Wins:,,,,,,,,
0,0,1,1,1,1,1,1,0
0,0,1,1,0,0,1,1,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,1,1,0,1,1,1,1
1,1,1,1,0,0,1,1,1
1,0,1,1,0,0,0,1,1
0,0,1,1,0,0,1,0,1
0,0,1,1,0,0,0,0,0
Ties:,,,,,,,,
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
Average Game Length:,,,,,,,,
0,0,938,855,1162,1437,1045,1272,1555
932,0,965,1129,1173,475,2846,1866,1593
771,851,0,3000,833,460,731,803,655
817,874,792,0,731,370,632,743,725
1022,3000,893,985,0,1110,1172,2107,1147
865,375,345,445,1145,0,470,370,370
1192,1601,626,855,1070,835,0,891,1140
881,2235,948,966,2215,370,2044,0,2292
1452,1966,675,745,2016,370,977,1572,0
AI crashes:,,,,,,,,
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
opponent AI crashes:,,,,,,,,
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
AI timeout:,,,,,,,,
0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
opponent AI timeout:,,,,,,,,
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
